"C","SETP.WORLD","DVD_DISPATCH_UNIT_SCADA","AEMO","PUBLIC","X2024.08.06","X16.05.11","X0000000428653915","X","X0000000428653863"
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","DIAPURWF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","ERGT01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","GB01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","GERMCRK","17.7990",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","GRIFSF1","16.301212",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","HUGSF1","7.8270",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","KEPBG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","LRSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","MBAHNTH","34.724998",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","MLSP1","10.0340",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","MLWF1","0.4050",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","PALOONA","12.70",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","PIONEER","-1.70",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","PORTWF","9.90",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","REPULSE","14.921493",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","ROWALLAN","-0.004929",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","ROYALLA1","15.936001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","RPCG","-0.10",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","RUBICON","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","SHOAL1","43.775002",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","WAUBRAWF","30.926001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","WOOLNTH1","1.90",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","YAMBUKWF","6.30",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:30:00","YSWF1","0.80",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:35:00","BARCSF1","5.50",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:35:00","BUTLERSG","7.299998",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:35:00","BWTR1","4.687120",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:35:00","CAPTL_WF","15.857664",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:35:00","CHALLHWF","1.80",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:35:00","CLOVER","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:35:00","CLUNY","9.230030",NA,NA,NA
